sn,date_posted,job_title,industry,state,state_name,resume_href,id,emp_type,availability,desired_wage,work_auth,job_level,will_travel,edu_level,will_reloc,objective,exp,edu,skills,add_info
1,2/22/2020,auditor,Accounting,TX,Texas,/job/view-resume-82470.html,82470,Contractor,02/22/2020,,Yes,"Management (Manager, Director)","Yes, More Than 75%",Masters,Yes,"Strategist provides clients with more than a decade of hands-on expertise in all aspects of public company accounting, internal audit, acquisition due-diligence, accounting transitions, complex financial analysis, risk identification and assistance with internal controls over financial reporting. Certifications address both business process and IT risk assessment, consumer and commercial insurance, forensic accounting and fraud investigation, all aspects of SOX compliance, policy and procedure documentation, and control development/implementation. Recent endeavors include financial and operational auditing, regulatory compliance and operational analysis reporting.","CPA Firm Consultant, Auditgoals.com 2019 - 2020• Planned and coordinated all stages of publicly traded and privately held company financial audits.• Performed routine SOX 404 audits and ad-hoc internal audits to identify gaps and propose corrective action.• Coordinated implementation and monitoring of internal corrective action plans.• Provided guidance to internal and external stakeholders to ensure understanding and compliance with regulatory and contractual requirements, as well as organizational policies and procedures.Chemicals and Manufacturing Consultant, Auditgoals.com 2017 – 2019• Conducts research and analysis on international regulatory requirements affecting vendor and plant relationships.• Performs routine SOX 404 audits and ad-hoc internal audits to identify gaps and propose corrective action.• Coordinates implementation and monitoring of internal corrective action plans.• Provides guidance to internal and external stakeholders to ensure understanding and compliance with regulatory and contractual requirements, as well as organizational policies and procedures.• Maintains the SOX 404 compliance audit program, including schedules, standards, processes, SAP reports and tools in close collaboration with the Compliance VP• Supports the development and renewal of mergers, sales and acquisitions strategic performance efforts, including coordination, verification, editing and submission of key documentation.• Assists the Compliance VP and Project Managers in conducting risk assessments of current business practices by determining areas of exposure and recommending risk-mitigating solutions.• Processes and maintains data, information, documents and files according to professional standardsOilfield and Construction Consultant, Auditgoals.com 2014 – 2017• Facilitate enterprise-wide risk management, SOX 404 activities and internal audit projects.• Review and approve the work of IT and ICFR audit consultants to ensure accuracy and PCAOB compliance.• Perform IT assessments in conjunction with third-party auditors to assess network security and firewall issues.• Propose changes to the internal control environment of all affiliated companies to ensure COSO framework objectives are met.• Advise senior management of the impact of business decisions on the achievement of organizational objectives.• Develop, implement and monitor risk control testing plans and activities to maintain an effective control environment.• Update external audit team on development of initiatives for the firm to increase reliance on internal audit documentation.• Administer the user access and document repository within the electronic audit filings and auditee certification systems.• Facilitate the planning of the ISO 9001 implementation efforts and steer the process mapping and control design initiatives.• Perform random operational audits to assess departmental compliance with recommended action plan updates.• Identify risk control system weaknesses and improvement opportunities to establish best practices.• Establish and consistently update risk control matrices and critical supporting documentsNonprofit and Food Service Consultant, Auditgoals.com 2013 – 2014• Managed staff of IT, billing and administrative professionals to ensure operational efficiency.• Collaborated with executive, finance and operations teams to introduce a mobile application to increase route performance.• Performed audits of key revenue and expense cycle activities to ensure accuracy of grant-writing estimates.• Performed assessments of operational compliance with regulatory standards and solicited executive advisory services.• Reviewed governmental contracts to ascertain levels of compliance risk and solidify knowledge of funding programs.• Created executive presentations for the education of the Board of Directors and other interested parties.• Assessed agency compliance with grantor funding contracts and produced reporting to prove compliance.• Acted as a liaison and negotiator between highly motivated government and non-profit foundation stakeholders.• Managed change by implementing operational billing and IT practices to ease staff burden and increase productivity.• Trained various departments on the functional requirements for financial success of the non-profit organization.Healthcare Consultant, Auditgoals.com 2012 – 2013• Created and executed audit project work plans to respond timely to Medicare regulatory audit inquiries.• Executed the SOX 404 compliance audit program across multiple entities and lines of business.• Communicated with internal and external stakeholders regularly to monitor business environment changes.• Collaborated with Fraud, Waste and Abuse team to develop operational audit programs that contribute to bottom line.• Reviewed regulatory updates to provide change proposals to the firm’s risk management plan.• Reviewed all quarterly and annual financial report drafts to ensure reasonableness before SEC review occurs.• Identified and managed resources needed to complete risk-based testing and implement recommendations.• Partnered with various business units to analyze and resolve complex problems that threatened profitability.• Prepared effective and concise reports, charts and analytical aids for use in various functional areas.Oil and Gas Consultant, Auditgoals.com 2010 – 2012• Traveled 60% to review IT security and assess SOX 404 compliance to recommend sound process improvements.• Recommended and implemented key operational initiatives at challenged, high-risk domestic and international plants.• Interviewed international plant personnel to assess compliance with the U.S. Foreign Corrupt Practices Act.• Performed audit walk-through of key business processes to inform management of key risk consideration areas.• Audited the plant general ledger accounts to determine whether bribery or fraud was committed.• Collaborated with external auditors to complete interim and annual testing plans for financial reporting purposes.• Updated process flow diagrams and narratives to reflect key financial and structural changes in the organization.• Performed fixed asset reviews to determine the accuracy of inventory records and depreciation expense.• Reviewed international contracts to identify key risk areas, address compliance concerns and affect change.Manufacturing Consultant, Auditgoals.com 2008 – 2010• Managed various ad-hoc executive assignments geared toward efficiency and waste elimination.• Traveled 80% to build successful working relationships with plant management and aid implementation.• Created executive presentations to satisfy the needs of North American management and German executives.• Coached office management teams on the importance of accurate database entries and inventory reconciliation practices.• Audited the cash sales, miscellaneous revenue, payroll and inventory cycles of 50 U.S. domestic plants.• Implemented an operational self-assessment plan for challenged business units in the California market.• Assessed the database security of proprietary technology structures by reviewing access and change management functions.• Created analytical reports, queries and other relevant financial/operational tools for management use.• Monitored financial, infrastructure and operational performance indicators to mitigate risk and manage costs.","Master of Business Administration, FinanceBachelor of Business Administration, Finance",,
2,2/11/2020,senior accountant,Accounting,OH,Ohio,/job/view-resume-82450.html,82450,Full-Time Permanent,2/1/2020,"75,000.00",Yes,"Management (Manager, Director)",No,High School/Equivalent,No,,Accomplished finance and accounting professional with over 20 years of experience in progressively increasing finance and accounting responsibilities.,Three years at University Wisconsin Superior,BudgetsAdvanced ExcelFinancial StatementsStaff SupervisionAccrualsMonthly ClosingsExternal AuditsGL ReconciliationsCash ManagementBank ReconciliationsBenefits/Payroll/401KGAAP/Statutory AccountingJournal Entries,Software:Microsoft Dynamics GPPrism HRUltiproDarwinIntacctClient Space CRMCorrelation CRM
3,1/31/2020,senior/mid-level financial services manager,Accounting,TX,Texas,/job/view-resume-82423.html,82423,Full-Time Permanent,,,Yes,"Management (Manager, Director)","Yes, Less Than 25%",Bachelors,Yes,"Growth-focused and astute executive and influential leader with a wide-range of experience in community, retail, and small business banking within the financial services industry.","WELLS FARGO ▪ DALLAS, TX (1994–2019)Senior Vice President | Community Banking District Manager	Mar 2003–Dec 2019	Managed 11 banking branches with 115 team members that specialized in providing financial services to retail and business customers.	Managed deposit relationships in excess of $750M.    	Provided strategic direction to team members to support the organizations vision and goals.	Achieved internal sales goals by referring customers to various lines of business as necessary.   	Effectively managed all aspects of retail and affluent customers within the geographical market, growing household balances and branch primary customers.    	Collaborated with Wholesale Banking, Wealth Management, Brokerage and Home Lending lines of business to guarantee shared success across all market segments.	Facilitated execution and maintenance of prescribed risks and security controls in alignment with the organization’s standards, policies, procedures, vision and values.	Optimized enterprise products and services to meet customer requirements by deepening relationships with existing and prospective customers.	Guaranteed consistency of all regional initiatives with community banking by driving the “One Wells Fargo” approach.	Facilitated recruitment, development and coaching of team members through balanced leadership, focusing on team member engagement, retention and performance management.	Represented the company and community banking in all aspects of federal, state, community leadership and development within markets.Key Accomplishments:	Received multiple Service of Excellence awards and distinctions by demonstrating outstanding customer management performance.	Partnered closely with small to large enterprises to host workshops and development programs, which resulted in business growth and increased revenues.	Successfully built working relationships with customers to provide assistance with meeting their financial goals. Earlier Positions HeldVice President | Branch Manager	May 1994–Jun 2003NATIONSBANK ▪ DALLAS, TXAssistant Vice President | Lobby/Teller Manager	Feb 1981–May 1994ADDITIONAL EXPERIENCECITY OF DUNCANVILLE ▪ DUNCANVILLE, TX	Councilmember	May 2012– May 2014; May 2018–PresentMayor Pro Tem	May 2013– May 2014	Work collaboratively with city manager, boards and commissions to drive economic development and a better quality of life for all citizens. 	Assist city staff with special projects when required. ","EDUCATIONApplied Business Administration Management/Behavior Management: Jul 2004DALLAS BAPTIST UNIVERSITY ▪ DALLAS, TXCertificate of Individualized Education Program (IEP): Jul 1992AMERICAN INSTITUTE OF BANKING ▪ DALLAS, TXAfrican American Leadership Program: May 2005UNIVERSITY OF CALIFORNIA, LOS ANGELES, ANDERSON SCHOOL OF BUSINESS ▪ LOS ANGELES, CA","Banking Administration | Risk Mitigation |Staff Coordination, Training and DevelopmentRegulatory Compliance | Operational Streamlining | Loan Management | Customer Retention",
4,1/16/2020, brokerage operations,Accounting,NY,New York,/job/view-resume-82397.html,82397,Full-Time Permanent,Immediate,90000,Yes,"Management (Manager, Director)",No,Certificate,No,"Analytical, performance-focused, and forward-thinking professional, with comprehensive experience in equity, fixed income, and commodity operations support; and foreign exchange in investment banking, securities, and wealth management industries. Expert at dealing with domestic and foreign derivative transactions, finance systems, commodity options, and warrants in line with the set-forth procedures. Equipped with leadership abilities in determining organizational needs; recommending innovative solutions and alternatives to complex problems; and meeting tight deadlines toward company growth.","SOCIÉTÉ GÉNÉRALE – JERSEY CITY, NJVice President - Team Leader, Delivery Department: 2017–Present-	Effectively supervise the Delivery Team in New York and Chicago with the daily business operations.-	Regularly coordinate with internal and external customers to address their concern-	Process the release of stock warrants and send emails to client service group with client holding open commodity position approaching last trading day (LTD) and first notice day (FND).-	Track internal and exchange system in ensuring client trade out for open positions during LTD.-	Participate in all commodity option expirations and delivery processing.-	Perform reconciliation of daily warrants inventory, client trades booking, and client petroleum trade breaks.-	Take charge of processing client payment in the internal system.UBS INVESTMENT BANK – NEW YORK, NYExchange Traded Derivatives Client Margining Specialist: 2015–2017-	Facilitated training to team members and new joiners regarding client margining.-	Conducted escalation with Credit Risk Team regarding payment overdue by three days.-	Closely work with several stakeholders in Sales, Risk, and IT departments.-	Managed client daily margining to ensure attainment and coverage of all margin calls.-	Developed and evaluated standard operating procedures to identify new process improvements.-	Dealt with client requests on collateral substitution; daily/weekly foreign currency procedures; and cash and collateral file receipt for verification of the UBS internal payment system.-	Efficiently handled T+1 cash fail reconciliation; SWIFT payment of the client; and missing fund settlement in partnership with a custodian. UBS INVESTMENT BANK – NEW YORK, NYExchange Traded Derivatives Delivery Control Specialist: 2005–2015-	Oversaw daily operations support for the Exchange Traded Derivatives Deliveries Division.-	Spearheaded all commodity, single-stock future deliveries, and option expiration on the New York Mercantile Exchange, New York Commodity Exchange, Options Clearing Corporation, Chicago Board of Trade, and the Chicago Mercantile Exchange.-	Ensured adherence to set rules and regulations of the exchange by collaborating with global branch offices and external clients-	Generated monthly global balance sheet sign-off and verification (GBSOV) to manage the balance and risk of the accounts.-	Managed global hedge fund, money manager and commodity clients, as well as the large trader position and open interest to exchanges and clients.-	Investigate Commodity Futures Trading Commission (CFTC), internal compliance, and exchange regulatory inquiries, while also reconciling T+1 trade breaks in collaboration with the internal stakeholders, brokers, and external clients.-	Promptly addressed and responded to customer inquiries.-	Drove key efforts in reaching quarterly cross-currency for ICE Clear US and Chicago Mercantile Exchange, amounting to $56B.","SCS Business and Technical Institute -New York, NY June 1986-June 1987Certificate of Academic Achievement in Bookkeeping & Business","Trade Posting and Payment EscalationInvestment and Finance AssessmentContinuous Process ImprovementCost Reduction Analysis	Futures and Options OperationsRegulatory Compliance and StandardsCustomer Service and RetentionProject and Program Development","EARLIER CAREERMAN FINANCIAL, INC. – NEW YORK, NYFutures Operations AssociateMERRILL LYNCH FUTURES, INC. – JERSEY CITY, NJManager - Deliveries SpecialistTECHNICAL ACUMENMicrosoft Office Suite (Word, Excel)SAP BusinessObjects ▪ CME Portal ▪ ICE US Clearing Application ▪ PTMS ▪ ECS ▪ ComaKeyLink ▪ Swiss Key Clearing ▪ MYOCC and GMI System"
5,12/16/2019,full charge bookkeeper,Accounting,CO,Colorado,/job/view-resume-82338.html,82338,Full-Time Permanent,,35000,Yes,Experienced with over 2 years experience,No,Bachelors,No,"Dynamic, goal-oriented, and analytical professional with years of experience in operations, revenue cycle, and account management, business analysis, and regulatory compliance.Expert at evaluating financial situation of individuals and businesses, as well as generating detailed financial reports for efficient business flow and decision making. Skilled at identifying and addressing business requirements to maximize growth opportunities. Equipped with proven ability to accomplish multiple assignments while ensuring strict compliance with the established financial guidelines. Armed with excellent communication and interpersonal aptitudes in collaborating with and building productive relationships with various individuals with diverse backgrounds.","Echo River Expeditions, Cañon City, COReservationist	2019–Present	Carry out the planning of travel itineraries by providing recommendations on local tourist attractions and places of interest	Efficiently handle the processing of payments and sending of details and confirmation to the guest, as well as acquiring of check-in requests and work retailAllegiance Mobile Health, Georgetown, TXRevenue Cycle Manager	2015–2018	Expertly managed all business-related functions of the emergency medical services (EMS) transports	Keenly administered specific areas, including revenue cycle training, credentialing registration, claims management, billing, collections, patient insurance, integrity of patient accounts, accounts receivable management, medical records custodian, and third-party revenue cycle vendors	Took charge of tracking aged accounts and ensuring that all appropriate collections procedures were followed, as well as evaluating business metrics to improve processes and increase efficiencies	Set internal goals and determined external benchmarks	Generated effective resolution for all escalated reimbursement problems with payers by personally analyzing and managing important concerns	Executed and upheld the supplier’s and emergency medical services (EMS) revenue cycle standard operating procedures (SOP)	Assumed accountability in identifying goals and vision of team as well as providing guidance with individuals and team toward priorities and clarifying roles and duties of others	Effectively supervised high-caliber personnel as well as a staff of 35 including hiring, evaluating performance, controlling salary changes, and executing disciplinary action	Provided timely, specific feedback and helpful coaching and guaranteed full compliance with supplier’s and EMS policiesAdvance Medical Practice Management AMPM) Medical Billing and Practice Management, Austin, TXSenior Account Manager	2014–2015	Efficiently handled account management of three cardiology accounts, one orthopedic practice and one Surgical Trauma Group	Spearheaded the processing of appeals and correcting claims and medical record reviews, as well as reconciliation of ERA’s and recoupments	Created account receivable (A/R) and decreased the aging report from 40% over 120 to 10% over 60	Administered the posting of patient payments and processing of post-credit card insurance payments form commercials carriers	Conducted month-end close and balance, which included client package presentationHarden Healthcare, LLC, Austin, TXOperations Manager	2006-2014	Oversaw the reception, scheduling, insurance verification, referrals, specialty, revenue cycle, and patient claims	Directed the verification of provider credentials, licensure, and certifications per Harden Healthcare (HHC) policies and industry standards, including development and maintenance of credentialing files for new and existing providers	Carried out the processing of enrollment in Medicare and Medicaid, controlling of care plans and major commercial carrier including credentialing and revalidation using Council for Affordable Quality Healthcare (CAQH)	Managed preparation of physician oversight and collaborative agreements	Coordinated with controller, accountant, and HHC leadership on earnings before interest, tax, depreciation and amortization (EBITDA)	Supervised a staff consisting of billing and insurance specialists and medical assistants, while executing performance evaluations","Coursework in Accounting and ComputerBessemer Technical College, Bessemer, ALCoursework in Accounting and ComputerRiverside Community College, Riverside, CA","Microsoft Office Applications (Excel, Word, PowerPoint, Access, and Outlook) | ESO | PayorLogic | CMD | PUREDIMedisoft | e-MD | Allscripts | Amazing Charts EMR | QuickBooks Pro | PeopleSoft Financials | PeopleSoft HRPORTAL Billing System | Remedy | Advantage Financial System | Adobe Acrobat | Adventure Office",
6,11/14/2019,remote bookkeeper or ranch management,Accounting,CA,California,/job/view-resume-82293.html,82293,Full-Time Permanent,Immediately,45000,Yes,"Management (Manager, Director)","Yes, Less Than 25%",High School/Equivalent,Yes,"Performance-focused, well organized, and multifaceted professional offering broad-based experience in facility management, accounting and bookkeeping, budgeting and finance, project administration, staff supervision, and client service within diverse industries.Known for excellent work ethic and exemplary ability in performing multiple responsibilities and meeting deadlines within demanding work environments. Equipped with excellent communication and interpersonal abilities in cultivating productive working relationships with professionals of all levels. Proficient with Microsoft Office Suite (Word, Excel, and PowerPoint) and QuickBooks.","PROFESSIONAL EXPERIENCESUMMIT CREEK RANCH/SUMNER VINEYARDS, Hayfork, CASales Representative / Ranch Hand	Apr 2018–Apr 2019Facility Management-	Manage the sales, and care of over 70 head of cattle and sheep and held responsible in providing and assisting in veterinary care-	Performed daily ranch maintenance tasks which included stock workSales Operations-	Displayed competency in tripling sales in one year-	Provided direction and support to the daily sales activities and marketing initiativesSUNSET TAX AND BOOKKEEPING SERVICES, Valley Center, CABookkeeper	Jul 2017–Jan 2018Accounting and Bookkeeping -	Fulfilled various accounting tasks, such as creating financial reports, examining and interpreting record, arranging financial information for review, as well as reconciling bank accounts, reports, and financial data for various clients-	Applied proper accounting procedures and documentation in handling depositsClients Service-	Administered and maintained accounts receivable and accounts payable for clients, as well as processed bills payment for clients-	Completed bank and credit card reconciliation accounts, initially for three clients and successful grew to more than nine clients with total revenue of more than $900KJOHNSON FAMILY FARMS, Valley Center, CARanch Manager / CFO (Co-Owner)	Jan 2015–Dec 2018Facility Management-	Rendered oversight to overall boarding and training facility, including care and maintenance of property and farm animals, supervision of employees, ordering of animal feed, and organization of delivery, farrier, and vet services scheduleAccounting and Bookkeeping Operations -	Carried out bookkeeping and prepared all paperwork, which involved liability waivers and boarding contractsBRADLEY’S PRO CLEAN INC., San Marcos, CAOffice Manager / Accountant	Nov 2009–Jan 2015Operations Management-	Accomplished a high career advancement within one year, key tasks, including accounts receivable and accounts payable reconciliation,  human resources functions, payroll processing, weekly deposits, daily cash drawer balancing, billing, purchasing, data entry into inventory, and sales-	Contributed efforts in conceptualizing ideas to boost company revenue-	Earned fast-track promotion from working in the warehouse to a management position in one yearSales Operations-	Generated sales by convincing customers to add additional items to their purchase using suggestive sales technique EARLIER CAREERSAN PASQUAL VALLEY RANCH, Escondido, CAAssistant trainer / Lesson Instructor / Ranch HandBARRETT ARABIANS, Valley Center, CAAssistant Trainer","EDUCATIONCOURSEWORK IN ACCOUNTINGPALOMAR COMMUNITY COLLEGE, SAN MARCOS, CA",,"PROFESSIONAL DEVELOPMENTAdvanced BookkeepingBarrett, Claire, and Associates | Dana Point, CAACTIVITIESProRodeo Competition, ParticipantNCHA Competition, ParticipantYouth Rodeo, Mentor (Volunteer)4H Fundraising, Mentor (Volunteer)"
7,10/28/2019,financial analyst,Accounting,NJ,New Jersey,/job/view-resume-82266.html,82266,Full-Time Permanent,,,Yes,"Management (Manager, Director)",No,Bachelors,No,,"HEART TO HEART ▪ EAST ORANGE, NJBilling, Payroll, and Purchaser Specialist	Dec 2015–Present	Work closely with health maintenance organizations (HMOs) to request authorization and transfer it to clients	Take charge of recording new HMO authorization in the system, wherein the HMOs followed up on request and/or validated hours performed with client	Provide prompt resolution to check issues and/or payroll inquiries from employees	Perform the processing of manual remittance and/or posting cash	Ensure the coordination of purchasing order on a weekly basis, such as office, medical, and cleaning supplies for corporate and satellite offices and for 20 group homes	Capitalize on industry expertise in checking and auditing the following data:–	Timekeeping records for accuracy and conformance with company standards;–	System outputs, such as payroll registers and interfaces;–	Verified hours report for employees; and–	Medicaid eligibility while informing other departments for termination of services","Bachelor of Science in Finance: May 2009, New Jersey City University ▪ Jersey City, NJAssociate of Science in Business Administration: May 2007, Hudson County Community College ▪ Jersey City, NJGraduated cum laude (GPA: 3.52) | Dean List (Spring 2006) | Phi Theta Kappa-Beta Alpha Phi | Beta Alpha Phi Chapter ServiceCertificate of Excellence, Business and Social Science Division | Who’s Who Among Students in American Junior Colleges",ADS | ADP PayForce | EDI | Microsoft Excel | NOVAtime Anywhere/3000 | HHAexchange | HRI | i-VantagePeopleSoft | ServiceNow | Sage |Sandata | Core FTP LE,
8,3/29/2019,financial analyst,Accounting,CA,California,/job/view-resume-81922.html,81922,Full-Time Permanent,4/8/2019,,Yes,Experienced with over 2 years experience,"Yes, Less Than 25%",Bachelors,Undecided,"As a Financial Analyst I am able to provide accurate information based on data relating to the company’s profitability, solvency, stability and liquidity. I research and analyzed financial information to help the company make well informed decisions. ","I provide creative alternatives and recommendations to reduce costs and improve financial performanceI assemble and summarize data to structure sophisticated reports on financial status and risksI develop financial models, conduct benchmarking and process analysisI conduct business studies on past, future and comparative performance and develop forecast modelsI am able to identify trends, advise company and recommend actions based on sound analysisI track and determine financial status by analyzing actual results in comparison with forecastsI reconcile transactions by comparing and correcting dataI gain and update job knowledge to remain informed about novelty in the fieldI consult with management to guide and influence long term and strategic decision making within the broadest scopeI drive process improvement and policy development initiatives that impact the functions within the organization","Bachelor of Science - Accounting and Business Administration from Kensington University, Glendale, CA - June 1995","Business processing and report writing skills using the following ERP systems and windows programs: PeopleSoft, NVision, Oracle, SAP, Business Objects, Cognos, Access, Excel, PowerPoint and Outlook",
9,3/14/2019,full or part time bookkeeping accounting,Accounting,SC,South Carolina,/job/view-resume-81888.html,81888,Other,3/15/2019,15.00 Hr,Yes,Experienced with over 2 years experience,"Yes, 25-50%",Bachelors,No,"I am looking for Assignments as an  Employee or as a Contractor with Successful Companies in the Grenville, SC area.","Years of diverse experience in all phases of Management Accounting:•	GL, AP, AR, Payroll, Inventory & Sales Analysis, CRM SQL Databases, •	Budgets, Projections, Reconciliations, Income Taxes (Small Business), Audits•	Cash Requirements, Inv & Sales Analysis, reports, Internal Audit,  Point of Sale, •	Bookkeeper, Staff Accountant, Controller, Manager, Salesman•	•	Multi Store Retail/Wholesale, with separate inventories and profit centers•	Franchise Stores, Service Companies, Engineering Companies with government EPA contracts•	Manufacturers, with job cost, Attorneys•	•	Past President, Mississippi Chapter National Association of Accountants•	Software Experience * GL Propriety for Main Frame *Omega * PC Law•	*MyTaxPrepOffice* Peachtree* Quickbooks *Word *Excel *Access *SQL","Mississippi State University, B S Accounting major, IRS PTIN, and EFIN      ","•	GL, AP, AR, Payroll, Inventory & Sales Analysis, CRM SQL Databases, •	Budgets, Projections, Reconciliations, Income Taxes (Small Business), Audits•	Cash Requirements, Inv & Sales Analysis, reports, Internal Audit,  Point of Sale, •	Bookkeeper, Staff Accountant, Controller, Manager, Salesman••	Software Experience * GL Propriety for Main Frame *Omega * PC Law•	*MyTaxPrepOffice* Peachtree* Quickbooks *Word *Excel *Access *SQL Sales, Computers & Accessories, Mens Clothing",
10,2/27/2019,accounting manager,Accounting,CA,California,/job/view-resume-81854.html,81854,Full-Time Permanent,,85000,Yes,"Management (Manager, Director)","Yes, Less Than 25%",Bachelors,No,"Multifaceted, detail-oriented, and performance-focused professional with extensive experience in financialmanagement and accounting functions, encompassing accounts receivable and accounts payable, billing, andinventory control. Effective at processing cost allocations, revenue projections, and accounting data in compliancewith accounting regulations. Equipped with strong work ethic and problem-solving, complemented with analyticalthinking, interpersonal, and communication skills in establishing relationships with all level of individuals.","»Kinder Morgan Energy Partners, L.P. | Orange, CA»Accounting Manager 2006–Present*Concurrently operate a revenue desk, oversee property accounting, and perform financial analysis*Fulfill diverse responsibilities, including regulatory reporting, rate filings, litigation, cost allocations,revenue projections, annual budget forecasting, and special studies*Administer regulatory asset database for Calnev pipeline and SFPP systems used in Securities andExchange Commission (SEC), Federal Energy Regulatory Commission (FERC), and other governmentalreporting*Demonstrate broad knowledge of both GAAP and FERC regulations and standards*Prepare comprehensive volume and revenue analysis for management reports*Manage and review all pertinent accounting data and generate detailed financial reports and statements*Ensure strict compliance with proper accounting methods, policies, and principles","Bachelor of Arts in Business Administration with Emphasis in Accounting (GPA: 3.8)California State University, Fullerton | Fullerton, CA",Financial Control and AnalysisGeneral Ledger ProcessingBank Reconciliation and Fixed Assets AnalysisBudget Forecasting and MonitoringStrategic Planning and ImplementationFinancial Account Analysis,"TECHNICAL ACUMENMicrosoft Office Suite (Word, Excel, Power Point, and Outlook) | SharePoint | Lawson | Galahad | Merlin"
