job_id,title,state,state_name,department,salary_range,company_profile,description,requirement,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,combine_text
9,"ASP.net Developer Job opportunity at United States,New Jersey",NJ,New Jersey,,100000-120000,,"DeveloperJob Location :United States-New Jersey-Jersey CityUs work status required : EAD / Green Card / US Citizens Detailed  Developer with strong SQL &amp; VB.NET working in a highly effective software development team responsible for development of and enhancements to our IDB reporting and billing systems. All work efforts will be performed according to policies and procedures relating to software development and quality.Background: Developer with 5+ years of development experience using VB.NET, including 3-5 years in SQL development.Required:â¢ College degreeâ¢ Experience building web based applications using and SQL Server.â¢ Expert level, hands-on experience writing SQL Server Stored Procedures.â¢ Proficient in MS Office products (Excel, Access, Word, Outlook)â¢ Worked in a role that involved the creation of reports for internal management and/or external customers.â¢ Experience developing in another scripting/front-end language.â¢ Excellent communication If you are interested, please send your updated profile to Hiring for Sales Account Director(advertising/digital sales) Sales Account Director - Pacific NorthwestJob Location : United States,Washington-SeattleUs work status required : EAD / Green Card / US Citizens Requirements :â¢3+ years of advertising/digital sales experience, preferrably in the regionâ¢Ability to provide forecasting information to managementâ¢Proven success prospecting/cold-calling regional accountsâ¢Proven experience in automotive, tech, health care, and travel categories, among othersâ¢Specialized experience with hands-on agency account management â¢Self-starter with a roll-up-your-sleeves mentalityâ¢Ability to work with the internal teams to solve problemsâ¢Solid grasp of interactive media, including various pricing models, targeting technologies, and ad servingâ¢Bachelor's degreeâ¢Strong long-distance communication  using email, instant messenger platforms, and phoneâ¢High technical aptitude for learning and working within desktop and web-based applications (Windows, Microsoft Office, DSPs, ad exchanges) â¢Ability to calculate and analyze data based on standard digital advertising cost-per metrics (CPM, CPC, CPA, etc.)â¢Detail-oriented with strong organizational  and multitasking abilityâ¢Ability to work efficiently and effectively under tight deadlines; strong sense of urgencyâ¢Personality to work effectively within a fast-moving environment and with many different types of peopleâ¢Desire and ability to work from homeÂ "," #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# DeveloperJob Location :United States-New Jersey-Jersey CityUs work status required : EAD / Green Card / US Citizens Detailed Description#URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# Developer with strong SQL &amp; VB.NET working in a highly effective software development team responsible for development of and enhancements to our IDB reporting and billing systems. All work efforts will be performed according to policies and procedures relating to software development and quality.Background: Developer with 5+ years of development experience using #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd#, VB.NET, including 3-5 years in SQL development.Required:â¢ College degreeâ¢ Experience building web based applications using #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# and SQL Server.â¢ Expert level, hands-on experience writing SQL Server Stored Procedures.â¢ Proficient in MS Office products (Excel, Access, Word, Outlook)â¢ Worked in a role that involved the creation of reports for internal management and/or external customers.â¢ Experience developing in another scripting/front-end language.â¢ Excellent communication If you are interested, please send your updated profile to #EMAIL_897dfb1f33f6c34f2bed521623e9808aa4e62d89a6c0284cfe89393e4457e628#Hiring for Sales Account Director(advertising/digital sales) Sales Account Director - Pacific NorthwestJob Location : United States,Washington-SeattleUs work status required : EAD / Green Card / US Citizens s :â¢3+ years of advertising/digital sales experience, preferrably in the regionâ¢Ability to provide forecasting information to managementâ¢Proven success prospecting/cold-calling regional accountsâ¢Proven experience in automotive, tech, health care, and travel categories, among othersâ¢Specialized experience with hands-on agency account management â¢Self-starter with a roll-up-your-sleeves mentalityâ¢Ability to work with the internal teams to solve problemsâ¢Solid grasp of interactive media, including various pricing models, targeting technologies, and ad servingâ¢Bachelor's degreeâ¢Strong long-distance communication  using email, instant messenger platforms, and phoneâ¢High technical aptitude for learning and working within desktop and web-based applications (Windows, Microsoft Office, DSPs, ad exchanges) â¢Ability to calculate and analyze data based on standard digital advertising cost-per metrics (CPM, CPC, CPA, etc.)â¢Detail-oriented with strong organizational  and multitasking abilityâ¢Ability to work efficiently and effectively under tight deadlines; strong sense of urgencyâ¢Personality to work effectively within a fast-moving environment and with many different types of peopleâ¢Desire and ability to work from homeÂ ",Benefits - FullBonus Eligible - YesInterview Travel Reimbursed â Yes,0,0,0,full-time,mid_senior,bachelors,Information Technology and Services,Information Technology,asp net developer job opportunity united state new jersey developerjob location united state new jersey jersey cityus work status required ead green card u citizen detailed developer strong sql amp vb net working highly effective software development team responsible development enhancement idb reporting billing system work effort performed according policy procedure relating software development quality background developer 5+ year development experience using vb net including 3 5 year sql development required college degree experience building web based application using sql server expert level hand experience writing sql server stored procedure proficient m office product excel access word outlook worked role involved creation report internal management external customer experience developing another scripting front end language excellent communication interested please send updated profile hiring sale account director advertising digital sale sale account director pacific northwestjob location united state washington seattleus work status required ead green card u citizen requirement 3+ year advertising digital sale experience preferrably region ability provide forecasting information management proven success prospecting cold calling regional account proven experience automotive tech health care travel category among others specialized experience hand agency account management self starter roll sleeve mentality ability work internal team solve problem solid grasp interactive medium including various pricing model targeting technology ad serving bachelor degree strong long distance communication using email instant messenger platform phone high technical aptitude learning working within desktop web based application window microsoft office dsps ad exchange ability calculate analyze data based standard digital advertising cost per metric cpm cpc cpa etc detail oriented strong organizational multitasking ability ability work efficiently effectively tight deadline strong sense urgency personality work effectively within fast moving environment many different type people desire ability work home url 86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd developerjob location united state new jersey jersey cityus work status required ead green card u citizen detailed description url 86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd developer strong sql amp vb net working highly effective software development team responsible development enhancement idb reporting billing system work effort performed according policy procedure relating software development quality background developer 5+ year development experience using url 86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd vb net including 3 5 year sql development required college degree experience building web based application using url 86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd sql server expert level hand experience writing sql server stored procedure proficient m office product excel access word outlook worked role involved creation report internal management external customer experience developing another scripting front end language excellent communication interested please send updated profile email 897dfb1f33f6c34f2bed521623e9808aa4e62d89a6c0284cfe89393e4457e628 hiring sale account director advertising digital sale sale account director pacific northwestjob location united state washington seattleus work status required ead green card u citizen 3+ year advertising digital sale experience preferrably region ability provide forecasting information management proven success prospecting cold calling regional account proven experience automotive tech health care travel category among others specialized experience hand agency account management self starter roll sleeve mentality ability work internal team solve problem solid grasp interactive medium including various pricing model targeting technology ad serving bachelor degree strong long distance communication using email instant messenger platform phone high technical aptitude learning working within desktop web based application window microsoft office dsps ad exchange ability calculate analyze data based standard digital advertising cost per metric cpm cpc cpa etc detail oriented strong organizational multitasking ability ability work efficiently effectively tight deadline strong sense urgency personality work effectively within fast moving environment many different type people desire ability work home
10,"Applications Developer, Digital ",CT,Connecticut,,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","The Applications Developer, Digital will develop or participate in the development, support or migration of the web and intranet applications, along with other business applications that may be cloud or locally hosted.Â Our goal to make sure our applications are state of the art, available and content-rich. We also thrive to make sure all our users are satisfied and that all support requests are answered-to in timely manner.Key Responsibilities:PHP and (C# and VB) development per project needs.Design, create and program MySQL and SQL Server databases per project needs.Triage and resolve tickets for supported systems and applicationsProvide troubleshooting expertise for proprietary applications in Production and Support environmentsDocument new and update solutions and process documentationFollow established procedures for managing risk when updating production systemsCreate and update process automationMigrate applications between different environmentsDeploy new applicationsManage content and support applications usersTest applications and document issuesDevelop solutions to existing issues and track a knowledge baseSupport Office 365 environment and applicationsAssist in gathering requirements and project specificationsAttend meetings as needed.Take ownership of daily applications support needs and communications.Communicate project status and deliverables with managers and other involved personnel.Manage project tasks, timelines, and communication.Perform routine site maintenance as needed.Other tasks as needed for successful project completion or as assigned by management.Must be willing to travel to Novitex sites (10%)","s:4 â 5 yearsâ experience in developing and deploying web applications.Solid understanding of SDLC.Knowledge of PHP, MySQL, SQL server and .netKnowledge in setting up application development environments (Internet and intranet)Knowledge of web application deployment and server configuration methodologiesKnowledge of content management systems and web analyticsAbility to troubleshoot applications and user issuesAdditional Preferred Experience:Knowledge of office 365 applicationsKnowledge of SharePoint administrationSalesforce administration and integrationForward-thinking business development-focused mentality and work style.Good customer service orientation and attitude.Effective communication , both verbal and written.Comfortable working with business support tools: MS Excel, MS Word, MS Outlook, MS PowerPoint and Visio.",,0,1,0,full-time,associate,bachelors,Management Consulting,Information Technology,application developer digital application developer digital develop participate development support migration web intranet application along business application may cloud locally hosted goal make sure application state art available content rich also thrive make sure user satisfied support request answered timely manner key responsibility php c vb development per project need design create program mysql sql server database per project need triage resolve ticket supported system applicationsprovide troubleshooting expertise proprietary application production support environmentsdocument new update solution process documentationfollow established procedure managing risk updating production systemscreate update process automationmigrate application different environmentsdeploy new applicationsmanage content support application userstest application document issuesdevelop solution existing issue track knowledge basesupport office 365 environment applicationsassist gathering requirement project specificationsattend meeting needed take ownership daily application support need communication communicate project status deliverable manager involved personnel manage project task timeline communication perform routine site maintenance needed task needed successful project completion assigned management must willing travel novitex site 10 4 5 year experience developing deploying web application solid understanding sdlc knowledge php mysql sql server netknowledge setting application development environment internet intranet knowledge web application deployment server configuration methodologiesknowledge content management system web analyticsability troubleshoot application user issuesadditional preferred experience knowledge office 365 applicationsknowledge sharepoint administrationsalesforce administration integrationforward thinking business development focused mentality work style good customer service orientation attitude effective communication verbal written comfortable working business support tool m excel m word m outlook m powerpoint visio
38,Technical Project Manager,NY,New York,,,,"GBI is a growing company developing several cutting edge systems in the financial industry.Â  We are set to embark on a few exciting new integrations with new partners, and are seeking individuals to lead and execute on these new projects, from design to implementation to support.Â  If you are self-motivated, detail-oriented, and energetic with a passion for leading all facets of a software development project and building a team to bring that to bear, this is the company for you.Â Â Highly motivated individual who can quickly come up to speed, understand and support existing applications.Experience with business analysis, requirements gathering, functional specifications, testing, and support of new and existing applications.Demonstrated ability of working with users and being the go-to person for any application related issues.Â  Ability to quickly become a subject matter expert.Utilize leadership and organizational  to effectively manage multiple tasks.Â  Interface with partners, clients, and executive team to ensure success as needed on these tasks.Support meetings with various levels of users and management, helping to document and support follow-up of meeting priorities.","Must have excellent oral and written communication  to conduct meetings and communicate effectively with all levels of management as needed.Â  Ability to document software designs, adhering to company standards, to effectively delegate software implementations.3 - 5 years of experience in project management, business analysis, and testing.Â  Experience with supporting Web Applications and Custom Applications.2+ years of experience working in Agile Development projects, utilizing source control, wiki, storyboards, etc.).Â  Experience with Atlassian Suite, Zen Desk, or similar.","Experience with CRM, such as SugarCRM.Past employment history in a financial company.",0,0,0,full-time,associate,bachelors,Financial Services,Information Technology,technical project manager gbi growing company developing several cutting edge system financial industry set embark exciting new integration new partner seeking individual lead execute new project design implementation support self motivated detail oriented energetic passion leading facet software development project building team bring bear company highly motivated individual quickly come speed understand support existing application experience business analysis requirement gathering functional specification testing support new existing application demonstrated ability working user go person application related issue ability quickly become subject matter expert utilize leadership organizational effectively manage multiple task interface partner client executive team ensure success needed task support meeting various level user management helping document support follow meeting priority must excellent oral written communication conduct meeting communicate effectively level management needed ability document software design adhering company standard effectively delegate software implementation 3 5 year experience project management business analysis testing experience supporting web application custom application 2+ year experience working agile development project utilizing source control wiki storyboards etc experience atlassian suite zen desk similar
49,Ruby Automation Engineer & Ruby on Rails Engineer - 2 roles,CA,California,IT,,," # 1Ruby Automation Engineer Menlo Park, CA # 2Ruby on Rails EngineerLocation : Pleasanton, CALength â 9 months plus.Looking for 4-5 years of experience. Someone who has worked on some exciting eCommerce web projects withÂ ROR.","Position # 1Ruby Automation EngineerLocation: Menlo Park, CADuration: Long term contractÂ 3+ years of experienceAutomation experience with RubyPosition # 2Ruby on Rails EngineerLocation : Pleasanton, CALength â 9 months plus.Looking for 4-5 years of experience. Someone who has worked on some exciting eCommerce web projects withÂ ROR.Â Qualifications:9+ years of experience developing the UX for Web-based and/or Mobile applications with progressively increasing responsibilities.4+ years experience leading project teams of Web / Mobile Developers to produce dynamic consumer-facing products. Portfolio of work that displays these .eCommerce and/or payment products experience is a strong plus.Development experience using object oriented techniques.Understanding of multi-tier, client-side and server-side development patterns, tools, and technologies.Experience with JRuby, JavaScript, HTML, CSS, XSLT, AJAX, jQuery, etc.Extensive experience interfacing with Web Services, specifically REST and/or SOAP APIs.Knowledge and demonstrated experience with cross-browser and cross-platform issues (Internet Explorer, Firefox, Safari, Chrome).Experience working in an Agile Scrum environment is required.Strong analytical and problem solving .Excellent verbal and written communication .Self starter with excellent interpersonal, motivational and facilitation .4 year degree in computer science, engineering, graphic design, or related discipline.",,0,0,1,contract,mid_senior,degree,,Information Technology,ruby automation engineer ruby rail engineer 2 role 1ruby automation engineer menlo park ca 2ruby rail engineerlocation pleasanton calength 9 month plus looking 4 5 year experience someone worked exciting ecommerce web project ror position 1ruby automation engineerlocation menlo park caduration long term contract 3+ year experienceautomation experience rubyposition 2ruby rail engineerlocation pleasanton calength 9 month plus looking 4 5 year experience someone worked exciting ecommerce web project ror qualification 9+ year experience developing ux web based mobile application progressively increasing responsibility 4+ year experience leading project team web mobile developer produce dynamic consumer facing product portfolio work display ecommerce payment product experience strong plus development experience using object oriented technique understanding multi tier client side server side development pattern tool technology experience jruby javascript html cs xslt ajax jquery etc extensive experience interfacing web service specifically rest soap apis knowledge demonstrated experience cross browser cross platform issue internet explorer firefox safari chrome experience working agile scrum environment required strong analytical problem solving excellent verbal written communication self starter excellent interpersonal motivational facilitation 4 year degree computer science engineering graphic design related discipline
54,Mid-Senior .NET or Xamarin Developer,GA,Georgia,,75-115,,"DataFinch Technologies is the leader in electronic data collection for the Autism and Special education fields. We have created a revolutionary, one of a kind, software product targeting: Â schools, physicians, in-home autism providers and non-profit organizations. Come work for a fast-paced, fun, technology company in a growing field and experience all the latest and greatest cutting edge technologies. Candidates for this role will be assisting in daily programming activities. The company has been completely bootstrapped organically and we currently have no investors. We have over 15,000 licensed users and this year we broke 2 million in revenue. We are located near perimeter mall.ResponsibilitiesAs a developer at DataFinch you will be a key contributor delivering new product features and functionality. Using an agile development process and weekly iterations, you will see the results of your work in the production application in a matter of weeks. You will be involved in all phases of the software development lifecycle: requirement analysis, design, implementation, testing, and production support. Candidates will have the opportunity to learn practical software application development across a wide-variety of platforms and technologies.Technologies / Methodologies UsedC# MVCREST/JSONAndroid, iPhone/iPad development (in C#) Windows MobileMicrosoft SQL ServerGitnHibernateSQLiteHtml 5, CSS, HTML, BootstrapJQuery/JavaScriptAJAXÂ Embedded systems (netduino, agent watch, google glass)Test Driven DevelopmentBehavior Driven DesignUser interface design and testingAgile Development processCQRS (command query responsibly separation)Inversion of ControlIIS 7.0, Web farms &amp; Load balancingAmazon EC2, S3 and VPCDomain-Specific LanguagesStatistical Analysis3rd Party IntegrationsÂ ","We are looking for candidates who are generally excited about technology and software development. Candidate must be a fast learner and self-starter. Must be fluent with the C# language, SQL, MVC.Â NHibernate experience is a plus, but will take any ORM experience. Experience in mobile development either with MonoTouch/Xamarin, objective-c (iPhone), and Java (Android) is also a plus.","Health, Vision, Dental, FSA, HSA, 401(k)Private Offices for developersCatered Lunch every FridayOne click build &amp; deploymentsFlex hoursConference reimbursementChoice of hardware25 days PTO10 days/year in company timeshareLaid back, enjoyable environmentTelecommutingSoft drinks &amp; snacksVideo games/Cable TV and other âToysâBean bagsProfit Sharing",0,0,0,full-time,mid_senior,bachelors,Computer Software,Information Technology,mid senior net xamarin developer datafinch technology leader electronic data collection autism special education field created revolutionary one kind software product targeting school physician home autism provider non profit organization come work fast paced fun technology company growing field experience latest greatest cutting edge technology candidate role assisting daily programming activity company completely bootstrapped organically currently investor 15 000 licensed user year broke 2 million revenue located near perimeter mall responsibilitiesas developer datafinch key contributor delivering new product feature functionality using agile development process weekly iteration see result work production application matter week involved phase software development lifecycle requirement analysis design implementation testing production support candidate opportunity learn practical software application development across wide variety platform technology technology methodology usedc mvcrest jsonandroid iphone ipad development c window mobilemicrosoft sql servergitnhibernatesqlitehtml 5 cs html bootstrapjquery javascriptajax embedded system netduino agent watch google glass test driven developmentbehavior driven designuser interface design testingagile development processcqrs command query responsibly separation inversion controliis 7 0 web farm amp load balancingamazon ec2 s3 vpcdomain specific languagesstatistical analysis3rd party integration looking candidate generally excited technology software development candidate must fast learner self starter must fluent c language sql mvc nhibernate experience plus take orm experience experience mobile development either monotouch xamarin objective c iphone java android also plus
103,Web Developer,AZ,Arizona,,,"Yazamo is a rapidly growing digital lifecycle marketing firm focused on developing web marketing strategies for mid sized to enterprise companies. Optimizing web conversions, designing and developing websites, setting up analytics tracking to measure campaign success are all vital components of our success. We are a fast paced and constantly evolving firm where the right person can a have real impact. We are searching for a competent and creative web developer to jump in with both feet and join our growing company.","If you are you a talented Web Developer who wants to work on cutting edge digital marketing projects, we are the place for you. Our collaborative team of consultants delivers results across multiple verticals and technology platforms to mid-size and enterprise clients. At Yazamo you will experience a dynamic work environment, a talented team of A players and an innovative evolving culture. If you are the jump in and get stuff done type of person you will be a great fit. If you are looking to be part of company where your ideas are valued and your contributions are impactful, this is the place for you. If you are just looking to clock-in and clock-out while keeping your head down, this isnât the place for you. If you donât want to take ownership of your projects and pursue great results, we arenât the right fit. If you are motivated and want to be a part of a company working on the cutting edge, a firm working ahead of 95% of the market, we want to work with you.","Â Strong front-end development : HTML5, CSS3, and JavaScript (jQuery)Â Strong experience with WordPress (custom theme, shortcode, function, etc)Some experience with PHPSome experience with front-end frameworks: Twitter Bootstrap, Foundation, etcSome experience with Adobe Suite : Photoshop and IllustratorFamiliar and experience with latest web design trends: responsive, parallax, jQuery / CSS animation, etc.Willingness to work with back-end frameworks: Laravel, JavaScript, MVC/MC*Excellent organization and communication skill, both verbal and writtenUI templates and wiring to back-end controllersDebugging and problem solving Some experience with cross-browser, platform, and device manual/automation testingExcellent communication and documentation Ability to work independently as well as collaboratively in a multidisciplinary team",Competitive salary at all experience levelsExpenses paid for conferences,0,1,0,full-time,associate,unspecified,Marketing and Advertising,Information Technology,web developer talented web developer want work cutting edge digital marketing project place collaborative team consultant delivers result across multiple vertical technology platform mid size enterprise client yazamo experience dynamic work environment talented team player innovative evolving culture jump get stuff done type person great fit looking part company idea valued contribution impactful place looking clock clock keeping head place want take ownership project pursue great result right fit motivated want part company working cutting edge firm working ahead 95 market want work strong front end development html5 css3 javascript jquery strong experience wordpress custom theme shortcode function etc experience phpsome experience front end framework twitter bootstrap foundation etcsome experience adobe suite photoshop illustratorfamiliar experience latest web design trend responsive parallax jquery cs animation etc willingness work back end framework laravel javascript mvc mc excellent organization communication skill verbal writtenui template wiring back end controllersdebugging problem solving experience cross browser platform device manual automation testingexcellent communication documentation ability work independently well collaboratively multidisciplinary team
128,"Manager, Network Engineering ",CT,Connecticut,,,,"COMPANY OVERVIEW:ChimeNet is a data networking service provider offering innovative information technology (IT) solutions and 24/7/365 support for businesses where data transfer and security cannot be compromised. ChimeNet delivers unsurpassed security, reliability, and cost effectiveness to its healthcare, education, municipal, and other business clients who need to share content-sensitive information, access the Internet securely, and deploy state of the art networking equipment. ChimeNetâs co-location facility supports customer disaster recovery and business continuity planning.By designing, delivering, monitoring, and managing turnkey network security solutions, ChimeNet meets the evolving needs of every client.Â  Please go to for more information.JOB SUMMARY:The Manager, Network Engineering will manage and lead our small team of Network Engineers and serve as the technical subject matter expert.Â  The Manager will oversee those involved in the development, design, implementation, test, and maintenance of ChimeNet solutions based on clientâs business and technology needs, and ensure we are delivering solutions that provide client/partner satisfaction, meet business requirements, and conform to industry best practices.Â  The Manager will direct the planning and implementation of long term strategic solutions as part of the CHA Business Plan.Provides technical leadership and direction, reviews architecture and design and recommends change and improvement where needed.Â  Works with engineers to implement solutions; ensures technical standards and architecture designs are followed.Â Uses knowledge of LAN/WAN systems to help design and install all internal (ChimeNet) and external (customer) based networks.Establishes and implements âbest-practiceâ engineering design/implementation standards as well as departmental policies and procedures.Â  Develops conceptual architecture, flowcharts, and diagrams to illustrate sequence of steps and describe logical operations.Â  Analyzes, recommends, and evaluates new hardware, software, and products.Manages and prioritizes teamâs workload to meet specified due dates. Sets goals for the team that are aligned with business and department objectives.Mentors team members with latest trends and best practices in network technologies.Provides regular status reports, escalates issues with delivery dates, cost, or deliverables at risk.Engages with customers as needed to resolve connectivity or performance issues at individual customer sites.Â  Works with engineers to modify design based on obstacles encountered in implementation.Ensures project deliverables match client expectations by proactively communicating with client/project engineer.Â  Engages project beneficiaries, including users, client management, and others, to incorporate rapidly changing requirements.Â  Participates in client interactions to ensure customer satisfaction.Works with sales team as primary pre-sales technical resource with existing and potential clients.Â  Facilitates strong client/partner relationships; identifies and s opportunities outside scope of current engagements.EOE","Bachelorâs Degree in Computer Science or related field3-5 years managing a team of engineering staff; 8-10 years progressive experience with network or systems engineeringData center and infrastructure operations background requiredService provider experience required; Hospital/healthcare experience a plusBasic knowledge in a broad range of IT infrastructure technologiesAbility to configure and implement routers using various routing protocols including RIP, EIGRP, TCP/IP, and OSPFAbility to configure and implement Cisco based networking solutions including Routers, Switches, Firewalls, and Wireless ControllersKnowledge in Telco/WAN services such as DSL, Metro and Switched Ethernet, Private Dark Fiber, Lit Fiber Services, Cable Internet, and Cable Ethernet ServicesExperience in site assessment surveys, engineering documentation, and bill of materialsActive Directory &amp; DNSCCNP &amp; Cisco Wireless Certification; expert level highly preferredEffective leader with a strong work ethic and desire to educate and develop talent within the teamInstallation, troubleshooting, project management, analytical thinking, and organizational Flexibility, ability to change priorities quickly, and capacity to handle multiple tasks including critical care and on call dutiesDemonstrated customer service  and a strong sales orientationAbility to understand political landscape within client/partner organizationsFamiliarity with a variety of fieldâs concepts, practices, and procedures. ExtensiveÂ experience and judgment to plan and accomplish goals. A wide degree ofÂ creativity and latitude is expected.Requires theÂ ability to work effectively across interfunctional lines, strong verbal,Â written communications , ability to resolve conflict and effectiveÂ interpersonal .Â Â ",Comprehensive benefits package available.,0,0,0,full-time,mid_senior,bachelors,Hospital & Health Care,Information Technology,manager network engineering company overview chimenet data networking service provider offering innovative information technology solution 24 7 365 support business data transfer security cannot compromised chimenet delivers unsurpassed security reliability cost effectiveness healthcare education municipal business client need share content sensitive information access internet securely deploy state art networking equipment chimenet co location facility support customer disaster recovery business continuity planning designing delivering monitoring managing turnkey network security solution chimenet meet evolving need every client please go information job summary manager network engineering manage lead small team network engineer serve technical subject matter expert manager oversee involved development design implementation test maintenance chimenet solution based client business technology need ensure delivering solution provide client partner satisfaction meet business requirement conform industry best practice manager direct planning implementation long term strategic solution part cha business plan provides technical leadership direction review architecture design recommends change improvement needed work engineer implement solution ensures technical standard architecture design followed us knowledge lan wan system help design install internal chimenet external customer based network establishes implement best practice engineering design implementation standard well departmental policy procedure develops conceptual architecture flowchart diagram illustrate sequence step describe logical operation analyzes recommends evaluates new hardware software product manages prioritizes team workload meet specified due date set goal team aligned business department objective mentor team member latest trend best practice network technology provides regular status report escalates issue delivery date cost deliverable risk engages customer needed resolve connectivity performance issue individual customer site work engineer modify design based obstacle encountered implementation ensures project deliverable match client expectation proactively communicating client project engineer engages project beneficiary including user client management others incorporate rapidly changing requirement participates client interaction ensure customer satisfaction work sale team primary pre sale technical resource existing potential client facilitates strong client partner relationship identifies opportunity outside scope current engagement eoe bachelor degree computer science related field3 5 year managing team engineering staff 8 10 year progressive experience network system engineeringdata center infrastructure operation background requiredservice provider experience required hospital healthcare experience plusbasic knowledge broad range infrastructure technologiesability configure implement router using various routing protocol including rip eigrp tcp ip ospfability configure implement cisco based networking solution including router switch firewall wireless controllersknowledge telco wan service dsl metro switched ethernet private dark fiber lit fiber service cable internet cable ethernet servicesexperience site assessment survey engineering documentation bill materialsactive directory amp dnsccnp amp cisco wireless certification expert level highly preferredeffective leader strong work ethic desire educate develop talent within teaminstallation troubleshooting project management analytical thinking organizational flexibility ability change priority quickly capacity handle multiple task including critical care call dutiesdemonstrated customer service strong sale orientationability understand political landscape within client partner organizationsfamiliarity variety field concept practice procedure extensive experience judgment plan accomplish goal wide degree creativity latitude expected requires ability work effectively across interfunctional line strong verbal written communication ability resolve conflict effective interpersonal
147,Service Desk (Help Desk/ Desktop Support) Tier 1/2 - Healthcare IT,TN,Tennessee,,,," IT Technician / Desktop / Clinical Support Tier 1/2 Franklin, TN 37067Full Time  - 40 hours per week, 8am to 5pm M-FProvides moderate to advanced-level technical support to customers needing assistance with distribution of software, hardware and software troubleshooting, remote access, VPN support, and other IT related service / support requests.Day-To-Day Role:* As an IT Analyst, you will open tickets, resolve issues, and work with IT staff to assign out incidents that you are unable to resolve.* Comfortable supporting a wide range of hardware, including PCs, peripherals (printers, scanners) and mobile devices* Basic working knowledge of network environments including an ability to recognize and diagnose connectivity problems ranging from the local to domain/organizational outage.Â * Able to provide usage support to software packages including but not limited to Microsoft Word, Outlook, Excel, PowerPoint, etc.Â * Provides support for file access issues (encryption, security, etc.)* Supports deployment of software packages, drivers and operating system updatesÂ * Strong verbal and written communication , including strong documentation * Works closely with onsite technical teams to recognize and report root cause analysis of incidents reported to the Service Desk* Identify and report to Service Desk Manager recurring incidents to spot trends and potential problem sources.* Coordination between multiple teams for effective resolution.* Escalate within support organization as required.* Provide support for a variety of Clinical (Training will be provided) and non-Clinical systems.* Provides positive customer experience with each customer interaction* You will play a key role in ensuring excellence of service to internal users. You will be handling IT technical support covering desktops, laptops, network, printer and a variety of Corporate and facility applications. Your role will also be very visible as you will be working directly with all levels of the organization.","s:* Technical schooling and/or Certifications (A+, Network+, etc) is a plus* 2-5 years providing IT support (prefer experience with phone/remote support)Â * BA Degree or Technical Equivalent is a plus* Self motivated (work tickets without being prompted), but also takes direction well* Likes to help others / empowered to resolve issues* Desire to learn. After being shown something a few times, easily picks it up* Good with documenting knowledge (we use OneNote)* You are able to multi-task and prioritize work","Pay: Varies with experience, plus outstanding benefits package (401k, PTO, bonus potential and 100% company paid healthcare premiums for the employee)Additional Information:* We are looking for someone interested in a CAREER that offers opportunity for upward mobility within an industry leading healthcare system.Â * Candidates will only be evaluated for the position if they can verify stable employment history. Ideal candidate is a dedicated worker and top performer in their group. We have a talented IT team and we are looking to expand on that talent in exchange for a rewarding career in Healthcare IT.Â ",0,0,0,full-time,associate,certificate,Information Technology and Services,Information Technology,service desk help desk desktop support tier 1 2 healthcare technician desktop clinical support tier 1 2 franklin tn 37067full time 40 hour per week 8am 5pm fprovides moderate advanced level technical support customer needing assistance distribution software hardware software troubleshooting remote access vpn support related service support request day day role analyst open ticket resolve issue work staff assign incident unable resolve comfortable supporting wide range hardware including pc peripheral printer scanner mobile device basic working knowledge network environment including ability recognize diagnose connectivity problem ranging local domain organizational outage able provide usage support software package including limited microsoft word outlook excel powerpoint etc provides support file access issue encryption security etc support deployment software package driver operating system update strong verbal written communication including strong documentation work closely onsite technical team recognize report root cause analysis incident reported service desk identify report service desk manager recurring incident spot trend potential problem source coordination multiple team effective resolution escalate within support organization required provide support variety clinical training provided non clinical system provides positive customer experience customer interaction play key role ensuring excellence service internal user handling technical support covering desktop laptop network printer variety corporate facility application role also visible working directly level organization technical schooling certification a+ network+ etc plus 2 5 year providing support prefer experience phone remote support ba degree technical equivalent plus self motivated work ticket without prompted also take direction well like help others empowered resolve issue desire learn shown something time easily pick good documenting knowledge use onenote able multi task prioritize work
